feature,importance
fr_NH2,0.0013402367911700508
fr_phenol,0.0013146674598457902
fr_allylic_oxid,0.0012740126836228265
NumAromaticHeterocycles,0.0012520497544472684
fr_Ndealkylation2,0.0011925682328886315
fr_Ar_COO,0.0011593290096809754
fr_pyridine,0.0011501148107653481
PEOE_VSA4,0.001125261140234597
SlogP_VSA7,0.0011038175289499277
fr_ketone,0.0010912653875896172
NumAromaticCarbocycles,0.001089540902829285
fr_imidazole,0.0010786074056310714
fr_benzene,0.0010611246371053577
fr_phenol_noOrthoHbond,0.0009625573743789436
fr_Ar_NH,0.0009620595660187017
fr_Nhpyrrole,0.0009593748672677479
fr_HOCCN,0.0009520738115788538
fr_methoxy,0.0009494421380683094
fr_aniline,0.0009450179276314361
fr_aryl_methyl,0.0009149183126896522
fr_ketone_Topliss,0.0008428739416435681
fr_quatN,0.0008352913352832973
fr_imide,0.0008247370714705626
fr_para_hydroxylation,0.0007884410151097128
fr_ester,0.0007549817440695899
fr_ArN,0.000671023892822163
fr_urea,0.0005544024662687419
fr_unbrch_alkane,0.0005530146348890354
NumBridgeheadAtoms,0.0004970079321598638
fr_guanido,0.0004950220498105842
fr_sulfonamd,0.0004922758003721123
fr_hdrzine,0.0004594966850356292
fr_Imine,0.00045903124442902643
NumSpiroAtoms,0.0004536645734140826
fr_priamide,0.0004389669719610045
fr_Ndealkylation1,0.0004369206715614199
fr_piperzine,0.0004163737000139954
EState_VSA11,0.00041207243409241054
fr_thiazole,0.000324829121007838
fr_prisulfonamd,0.00030951539765364846
fr_dihydropyridine,0.0002572983662645347
NumRadicalElectrons,0.00025707316923200956
fr_amidine,0.00025536342553905076
fr_barbitur,0.0002403127224059127
fr_thiophene,0.00020115501371385122
fr_benzodiazepine,0.00018072471178840895
fr_furan,0.00017593098393049346
fr_N_O,0.00017030121643558545
fr_C_S,0.00014884321169663994
fr_lactone,0.00013276185625623663
fr_sulfone,0.00011955724758799556
fr_tetrazole,0.00010953021605662462
SMR_VSA2,0.00010771129322571147
fr_nitro_arom,0.00010681503515781649
fr_nitro,0.00010150169171377085
fr_oxime,9.98157164885096e-05
fr_nitro_arom_nonortho,8.730660413369601e-05
fr_epoxide,7.641811883553711e-05
fr_azide,5.409162965980597e-05
fr_term_acetylene,4.77367966088064e-05
fr_SH,4.3981729675446934e-05
fr_nitrile,4.28594076535489e-05
fr_morpholine,3.975643486713773e-05
fr_alkyl_carbamate,3.5176858052041464e-05
fr_aldehyde,2.984359906050972e-05
fr_phos_ester,2.7041052733420516e-05
fr_azo,2.2088638785775553e-05
fr_oxazole,1.7445215517024288e-05
fr_nitroso,1.0607424005847379e-05
Ipc,4.057715437723912e-06
fr_hdrzone,3.881911266016923e-06
SMR_VSA8,0.0
SlogP_VSA9,0.0
fr_diazo,0.0
fr_isocyan,0.0
fr_isothiocyan,0.0
fr_phos_acid,0.0
