AUROC,AUPRC,Accuracy,F1,Precision,Recall,Sensitivity,Specificity,TP,FP,TN,FN,model,best_params,cv_auc_mean,feature_set,fold,split
0.9031779661016948,0.9727862206936204,0.8614864864864865,0.9147609147609148,0.8979591836734694,0.9322033898305084,0.9322033898305084,0.5833333333333334,220,25,35,16,rf,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 300}",0.8855268556147191,descriptors,0,scaffold
0.9362984218077474,0.9574740972533808,0.8758620689655172,0.9113300492610836,0.9203980099502488,0.902439024390244,0.902439024390244,0.8117647058823529,185,16,69,20,rf,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8753514322312773,descriptors,1,scaffold
0.9428571428571428,0.9791415414346226,0.8783783783783784,0.9203539823008848,0.9203539823008848,0.9203539823008848,0.9203539823008848,0.7428571428571429,208,18,52,18,rf,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8817021428803694,descriptors,2,scaffold
0.9193535052910052,0.969243967542705,0.857707509881423,0.9072164948453608,0.8844221105527639,0.9312169312169312,0.9312169312169312,0.640625,176,23,41,13,rf,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.896793472078885,descriptors,3,scaffold
0.8927244222506097,0.9497404671265798,0.8484848484848485,0.9002217294900222,0.871244635193133,0.9311926605504588,0.9311926605504588,0.620253164556962,203,30,49,15,rf,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8771410900045757,descriptors,4,scaffold
0.9277542372881356,0.9796782705872228,0.8817567567567568,0.9281314168377824,0.900398406374502,0.9576271186440678,0.9576271186440678,0.5833333333333334,226,25,35,10,svm,"{'C': 1.0, 'gamma': 'scale'}",0.8584776161562174,descriptors,0,scaffold
0.9229268292682926,0.9552468157944224,0.8758620689655172,0.9134615384615384,0.9004739336492891,0.926829268292683,0.926829268292683,0.7529411764705882,190,21,64,15,svm,"{'C': 1.0, 'gamma': 'scale'}",0.8618569038627178,descriptors,1,scaffold
0.943457648546144,0.9806432632529132,0.8952702702702703,0.9312638580931264,0.9333333333333332,0.9292035398230089,0.9292035398230089,0.7857142857142857,210,15,55,16,svm,"{'C': 1.0, 'gamma': 'scale'}",0.8658079103393708,descriptors,2,scaffold
0.914186507936508,0.9624946222946348,0.8774703557312253,0.9207161125319692,0.8910891089108911,0.9523809523809524,0.9523809523809524,0.65625,180,22,42,9,svm,"{'C': 1.0, 'gamma': 'scale'}",0.8790266859462182,descriptors,3,scaffold
0.8848565787945651,0.9542034669409656,0.8383838383838383,0.8909090909090909,0.8828828828828829,0.8990825688073395,0.8990825688073395,0.6708860759493671,196,26,53,22,svm,"{'C': 1.0, 'gamma': 'scale'}",0.8662341627677485,descriptors,4,scaffold
0.8136299435028249,0.9282472980696715,0.8209459459459459,0.8888888888888888,0.8796680497925311,0.8983050847457628,0.8983050847457628,0.5166666666666667,212,29,31,24,logreg,{'C': 10.0},0.854194745414908,combined,0,scaffold
0.881664275466284,0.9419789657200092,0.7896551724137931,0.8471177944862155,0.8711340206185567,0.824390243902439,0.824390243902439,0.7058823529411765,169,25,60,36,logreg,{'C': 10.0},0.8055016306308297,combined,1,scaffold
0.8722503160556258,0.9465063254607752,0.8547297297297297,0.906318082788671,0.8927038626609443,0.9203539823008848,0.9203539823008848,0.6428571428571429,208,25,45,18,logreg,{'C': 0.1},0.8357391690783555,combined,2,scaffold
0.8526785714285714,0.9345330698204172,0.8260869565217391,0.8829787234042553,0.8877005347593583,0.8783068783068783,0.8783068783068783,0.671875,166,21,43,23,logreg,{'C': 10.0},0.8523950464150275,combined,3,scaffold
0.8493206363953084,0.9266723587841552,0.8047138047138047,0.867579908675799,0.8636363636363636,0.8715596330275229,0.8715596330275229,0.620253164556962,190,30,49,28,logreg,{'C': 10.0},0.8357241167066211,combined,4,scaffold
0.9013771186440678,0.972112136849688,0.8783783783783784,0.926530612244898,0.8937007874015748,0.961864406779661,0.961864406779661,0.55,227,27,33,9,rf,"{'max_depth': 30, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8924746412296659,combined,0,scaffold
0.946341463414634,0.9686378147243406,0.903448275862069,0.9330143540669856,0.9154929577464788,0.951219512195122,0.951219512195122,0.788235294117647,195,18,67,10,rf,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8761844848973402,combined,1,scaffold
0.943078381795196,0.9779336549663298,0.8783783783783784,0.920704845814978,0.9166666666666666,0.9247787610619468,0.9247787610619468,0.7285714285714285,209,19,51,17,rf,"{'max_depth': 30, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8845330645248701,combined,2,scaffold
0.921544312169312,0.9673821574255675,0.8656126482213439,0.9132653061224488,0.8817733990147784,0.9470899470899472,0.9470899470899472,0.625,179,24,40,10,rf,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.9019133881488536,combined,3,scaffold
0.8932179770061548,0.949645097608786,0.8484848484848485,0.9002217294900222,0.871244635193133,0.9311926605504588,0.9311926605504588,0.620253164556962,203,30,49,15,rf,"{'max_depth': 30, 'min_samples_leaf': 1, 'n_estimators': 300}",0.8751726056183715,combined,4,scaffold
